,neighbourhood_group_cleansed,property_type,room_type,accommodates,bathrooms,bedrooms,beds,bed_type,price,minimum_nights,maximum_nights,availability_365,number_of_reviews,last_review,review_scores_rating
59,Brooklyn,Apartment,Private room,2,1,1,1,Real Bed,80,3,1125,299,113,2018-01-28,94
60,Brooklyn,Apartment,Entire home/apt,2,1,1,2,Real Bed,40,7,10,0,47,2017-08-26,94
61,Brooklyn,House,Private room,3,1.5,1,1,Real Bed,50,1,30,365,1,2017-11-12,60
62,Manhattan,Apartment,Entire home/apt,2,1,0,1,Real Bed,120,2,16,21,160,2018-03-02,93
63,Brooklyn,House,Private room,2,1,1,1,Real Bed,80,1,365,205,94,2018-02-25,94
64,Manhattan,Apartment,Entire home/apt,2,0,1,1,Real Bed,170,1,12,62,25,2017-07-21,88
65,Brooklyn,Apartment,Entire home/apt,2,1,2,2,Real Bed,174,3,60,152,56,2018-01-02,95
66,Brooklyn,Apartment,Entire home/apt,4,1,1,2,Real Bed,144,2,1125,240,113,2018-02-24,95
67,Manhattan,Apartment,Entire home/apt,2,1,1,1,Real Bed,200,7,30,290,10,2018-01-30,91
68,Brooklyn,Apartment,Entire home/apt,2,1,1,1,Real Bed,140,3,45,31,87,2018-02-25,97
69,Brooklyn,Apartment,Private room,2,0,1,1,Real Bed,60,60,730,217,58,2018-02-11,91
70,Manhattan,Apartment,Private room,3,1,1,1,Real Bed,85,3,1125,357,5,2018-03-02,100
71,Brooklyn,House,Entire home/apt,2,2,1,1,Real Bed,145,4,178,365,6,2015-10-10,100
72,Brooklyn,House,Private room,2,2,1,1,Real Bed,135,4,28,365,7,2016-12-21,97
73,Manhattan,Apartment,Private room,1,1,1,1,Real Bed,100,5,15,365,15,2017-05-23,98
74,Manhattan,Apartment,Private room,1,0.5,1,1,Real Bed,69,2,29,285,226,2018-02-11,94
75,Brooklyn,Apartment,Entire home/apt,4,1,2,3,Real Bed,185,2,29,365,9,2015-12-04,88
76,Brooklyn,Apartment,Private room,2,1.5,1,1,Real Bed,49,3,60,310,119,2017-12-18,85
77,Brooklyn,Apartment,Private room,1,1,1,1,Real Bed,80,2,30,310,27,2018-02-28,97
78,Brooklyn,Apartment,Private room,2,1,1,2,Real Bed,69,2,29,364,5,2015-12-02,90
79,Brooklyn,Apartment,Private room,2,0,1,1,Real Bed,59,2,27,365,24,2016-09-12,81
80,Brooklyn,Apartment,Private room,2,0,1,1,Real Bed,59,2,25,365,14,2015-11-07,73
81,Manhattan,Apartment,Entire home/apt,2,1,1,1,Real Bed,110,5,365,314,65,2018-02-03,95
82,Manhattan,Apartment,Entire home/apt,6,1,2,3,Real Bed,238,3,1125,126,57,2018-01-16,92
83,Brooklyn,House,Private room,4,1,1,1,Real Bed,89,1,730,365,22,2017-05-21,79
84,Brooklyn,Loft,Entire home/apt,3,1,2,2,Real Bed,98,5,60,173,80,2018-01-28,97
85,Manhattan,Apartment,Entire home/apt,3,1,1,2,Real Bed,225,4,5000,183,126,2018-01-15,92
86,Brooklyn,Apartment,Entire home/apt,8,2,4,4,Real Bed,339,5,365,242,125,2018-02-25,99
87,Brooklyn,Apartment,Private room,2,1,1,2,Real Bed,55,7,150,338,27,2017-09-30,92
88,Brooklyn,Apartment,Private room,1,1,1,1,Real Bed,75,1,60,364,36,2018-01-01,96
89,Brooklyn,Apartment,Entire home/apt,4,2,2,3,Real Bed,225,3,14,0,4,2017-09-24,100
90,Manhattan,Apartment,Private room,2,1,1,1,Real Bed,80,1,30,167,228,2018-02-25,94
91,Brooklyn,Loft,Entire home/apt,4,1,1,3,Real Bed,250,1,1125,365,110,2018-02-04,92
92,Manhattan,Apartment,Private room,2,1,1,1,Real Bed,120,1,365,214,309,2018-02-14,92
93,Manhattan,Apartment,Private room,1,1,1,1,Real Bed,79,1,30,359,66,2018-02-12,92
94,Manhattan,Apartment,Entire home/apt,2,1,0,1,Real Bed,329,3,365,364,1,2017-12-20,80
