,neighbourhood_group_cleansed,property_type,room_type,accommodates,bathrooms,bedrooms,beds,bed_type,price,minimum_nights,maximum_nights,availability_365,number_of_reviews,last_review,review_scores_rating
3070,Brooklyn,Apartment,Private room,1,1,1,1,Real Bed,49,28,90,323,10,2016-11-30,86
3071,Brooklyn,Apartment,Private room,2,1,1,1,Real Bed,95,2,365,361,99,2018-01-03,90
3072,Manhattan,Apartment,Entire home/apt,5,1,1,3,Real Bed,158,2,1125,68,24,2018-02-02,94
3073,Manhattan,Apartment,Entire home/apt,2,1,1,2,Real Bed,209,1,1125,306,18,2018-01-31,90
3074,Brooklyn,Apartment,Entire home/apt,2,1,1,1,Real Bed,121,4,31,39,53,2018-02-24,96
3075,Brooklyn,Apartment,Private room,2,1,1,1,Real Bed,75,3,10,9,28,2018-03-04,99
3076,Queens,Apartment,Private room,2,1,1,1,Real Bed,71,1,2000,319,4,2016-01-28,100
3077,Brooklyn,Apartment,Entire home/apt,6,0,3,,Real Bed,189,1,1125,365,0,,0
3078,Manhattan,Apartment,Private room,1,1,1,1,Real Bed,90,4,30,309,83,2018-01-05,93
3079,Brooklyn,Apartment,Private room,1,1.5,1,1,Real Bed,85,2,1125,0,1,2015-09-12,100
3080,Manhattan,Apartment,Entire home/apt,1,1,1,1,Real Bed,280,10,1125,32,3,2015-11-03,93
3081,Brooklyn,Apartment,Entire home/apt,3,1,1,1,Real Bed,91,3,1125,218,158,2018-02-11,88
3082,Brooklyn,Loft,Private room,2,1,1,1,Real Bed,50,2,1125,243,25,2018-01-01,95
3083,Brooklyn,Apartment,Private room,2,1.5,1,1,Real Bed,75,5,200,321,49,2018-01-20,90
3084,Brooklyn,House,Private room,4,1.5,1,4,Real Bed,60,1,100,364,49,2018-01-08,85
3085,Manhattan,Apartment,Private room,1,1,5,1,Real Bed,45,5,1125,348,8,2017-06-29,97
3086,Brooklyn,Apartment,Entire home/apt,2,1,1,2,Real Bed,130,14,25,62,1,2015-01-09,100
3087,Manhattan,Apartment,Private room,1,1,1,1,Real Bed,70,3,1125,245,16,2018-01-01,87
3088,Manhattan,Apartment,Private room,2,1,1,1,Real Bed,125,2,1125,240,183,2018-02-14,90
3089,Manhattan,Apartment,Entire home/apt,4,1,1,2,Real Bed,120,3,90,291,97,2018-02-17,88
3090,Brooklyn,Apartment,Entire home/apt,4,1,1,2,Real Bed,125,4,28,263,10,2017-08-03,92
3091,Brooklyn,Apartment,Private room,2,1,1,1,Real Bed,99,5,1125,338,4,2017-09-29,100
3092,Brooklyn,House,Entire home/apt,8,3,4,5,Real Bed,210,5,1125,0,1,2015-01-01,80
3093,Manhattan,Apartment,Private room,1,1,1,1,Real Bed,50,3,25,353,53,2017-09-08,96
3094,Brooklyn,Apartment,Private room,1,1.5,1,1,Futon,120,6,60,365,7,2017-11-06,100
3095,Manhattan,Apartment,Private room,1,1,1,1,Real Bed,115,3,40,365,16,2017-09-15,91
3096,Brooklyn,Apartment,Entire home/apt,3,1,2,1,Real Bed,90,2,10,8,2,2013-07-01,100
3097,Manhattan,Apartment,Entire home/apt,2,1,1,1,Real Bed,200,2,1125,255,179,2017-12-10,95
3098,Manhattan,Apartment,Entire home/apt,3,1,1,1,Real Bed,199,3,30,361,27,2017-12-31,0
3099,Manhattan,Apartment,Entire home/apt,2,1,1,1,Real Bed,99,3,1125,15,41,2018-01-01,95
3100,Manhattan,Apartment,Entire home/apt,2,1,1,1,Real Bed,175,3,14,357,30,2017-05-14,93
3101,Brooklyn,Apartment,Entire home/apt,3,1,1,2,Real Bed,100,3,180,191,230,2018-02-22,94
3102,Brooklyn,Apartment,Private room,2,1,1,1,Real Bed,90,7,30,341,67,2017-11-03,98
3103,Brooklyn,House,Private room,2,1.5,1,2,Real Bed,40,1,100,180,54,2018-01-04,92
3104,Manhattan,Apartment,Entire home/apt,3,1,2,2,Real Bed,180,30,1125,365,15,2017-08-13,97
3105,Brooklyn,Apartment,Private room,2,1,1,1,Real Bed,130,2,7,0,4,2017-05-27,90
3106,Manhattan,Loft,Entire home/apt,4,1,,1,Real Bed,79,30,1125,42,12,2016-04-01,93
3107,Manhattan,Apartment,Entire home/apt,2,1,1,1,Real Bed,200,2,10,58,26,2017-05-21,92
3108,Manhattan,Apartment,Entire home/apt,2,1,1,1,Real Bed,175,3,7,315,11,2017-07-28,96
3109,Brooklyn,Apartment,Entire home/apt,4,1,1,3,Real Bed,110,3,60,248,8,2017-12-29,92
3110,Manhattan,Apartment,Entire home/apt,2,1,1,1,Real Bed,110,2,1125,115,11,2018-02-11,95
3111,Manhattan,Apartment,Private room,2,1,1,1,Real Bed,60,2,90,363,2,2018-01-01,100
3112,Manhattan,Apartment,Entire home/apt,2,1,0,1,Real Bed,200,3,1125,0,0,,0
3113,Brooklyn,Condominium,Entire home/apt,5,3,2,3,Real Bed,300,4,28,357,22,2018-01-12,95
3114,Manhattan,Apartment,Private room,2,1,1,1,Real Bed,135,3,60,364,13,2016-08-23,92
3115,Brooklyn,Apartment,Entire home/apt,4,1,1,1,Real Bed,189,2,30,172,128,2018-03-05,99
3116,Queens,Apartment,Entire home/apt,4,1,1,1,Real Bed,90,6,90,121,21,2016-08-17,95
3117,Queens,Bed and breakfast,Private room,2,1,1,1,Real Bed,133,1,1125,365,0,,0
3118,Brooklyn,Apartment,Private room,4,1,1,2,Futon,65,1,1125,0,4,2016-08-17,95
3119,Manhattan,Camper/RV,Private room,2,1,1,1,Real Bed,50,1,1125,30,73,2016-03-08,73
3120,Manhattan,Apartment,Entire home/apt,3,1,1,1,Real Bed,179,3,14,0,25,2017-11-28,96
3121,Manhattan,Apartment,Private room,2,1,1,1,Real Bed,125,3,1125,4,44,2017-11-06,94
3122,Manhattan,Apartment,Entire home/apt,1,1,1,1,Real Bed,105,70,1125,285,8,2018-01-31,100
3123,Brooklyn,Apartment,Private room,1,1,1,1,Real Bed,49,1,1125,363,9,2017-08-19,89
3124,Brooklyn,Apartment,Entire home/apt,4,1,2,2,Real Bed,93,3,8,362,74,2018-01-02,95
3125,Brooklyn,Apartment,Entire home/apt,3,1,1,1,Real Bed,140,1,1125,264,47,2018-02-19,98
3126,Brooklyn,Apartment,Private room,1,2,1,1,Real Bed,46,2,30,342,3,2017-06-18,93
3127,Brooklyn,Apartment,Private room,1,1,1,1,Real Bed,148,1,3,365,0,,0
3128,Manhattan,Apartment,Entire home/apt,3,1,1,1,Real Bed,190,2,360,356,75,2018-02-13,87
3129,Manhattan,Apartment,Entire home/apt,2,2,1,1,Real Bed,200,1,1125,155,2,2016-05-27,100
3130,Brooklyn,Apartment,Entire home/apt,2,1,1,1,Real Bed,190,1,31,282,132,2018-03-01,96
3131,Queens,Apartment,Private room,1,1,1,1,Real Bed,39,14,90,25,13,2017-10-01,100
3132,Brooklyn,Apartment,Private room,2,1,1,1,Real Bed,99,2,14,49,147,2018-02-16,98
3133,Manhattan,Apartment,Private room,2,1,1,1,Real Bed,109,2,30,262,218,2018-02-27,92
3134,Manhattan,Apartment,Private room,1,1,1,1,Real Bed,79,4,90,63,36,2017-02-13,97
3135,Brooklyn,Apartment,Entire home/apt,2,1,1,1,Real Bed,165,1,1125,331,5,2018-02-13,100
3136,Manhattan,Apartment,Entire home/apt,2,1.5,1,1,Real Bed,750,3,14,365,7,2016-09-18,100
3137,Queens,House,Entire home/apt,6,2,3,4,Real Bed,200,7,14,62,2,2014-07-12,95
3138,Queens,Apartment,Private room,1,1,1,1,Real Bed,65,3,7,364,2,2015-08-10,0
3139,Brooklyn,Apartment,Private room,1,1,1,1,Real Bed,125,1,14,365,0,,0
3140,Brooklyn,Apartment,Private room,3,1,1,2,Futon,60,3,1125,284,116,2018-01-08,94
3141,Brooklyn,Apartment,Entire home/apt,6,2,2,2,Real Bed,175,3,1125,125,60,2018-02-16,89
3142,Manhattan,Apartment,Private room,2,1,1,1,Real Bed,51,5,30,338,37,2017-08-28,93
3143,Manhattan,Apartment,Entire home/apt,3,1,1,1,Real Bed,100,1,200,0,35,2017-12-10,94
3144,Brooklyn,Apartment,Private room,2,1.5,1,1,Real Bed,110,1,5,358,99,2018-02-10,94
3145,Brooklyn,Apartment,Entire home/apt,3,1,1,1,Real Bed,138,7,1125,0,1,2013-05-24,86
3146,Manhattan,Apartment,Entire home/apt,4,1,,1,Real Bed,99,1,365,291,63,2018-02-12,87
3147,Manhattan,Apartment,Entire home/apt,4,2,2,3,Real Bed,170,30,100,0,4,2018-01-01,100
3148,Manhattan,Apartment,Private room,4,1,1,1,Real Bed,139,4,30,90,6,2017-08-01,93
3149,Brooklyn,Apartment,Entire home/apt,2,1,1,1,Real Bed,87,1,1125,33,240,2018-02-09,97
3150,Manhattan,Apartment,Private room,3,1,1,1,Real Bed,89,1,1125,248,13,2017-12-11,95
3151,Manhattan,Apartment,Private room,1,1,1,1,Real Bed,115,3,1125,0,1,2016-11-07,0
3152,Manhattan,Apartment,Entire home/apt,2,1,1,1,Real Bed,85,6,32,31,5,2017-01-01,96
3153,Manhattan,Townhouse,Entire home/apt,8,1,3,4,Real Bed,79,1,365,0,37,2014-11-08,83
3154,Brooklyn,House,Entire home/apt,7,2,4,7,Real Bed,499,2,1125,138,63,2018-02-24,97
3155,Manhattan,Apartment,Private room,2,1.5,1,1,Real Bed,75,3,365,89,14,2015-10-25,92
3156,Brooklyn,Apartment,Entire home/apt,2,1,1,1,Real Bed,79,3,1125,287,133,2018-02-07,92
3157,Manhattan,Apartment,Entire home/apt,4,1,1,1,Real Bed,200,4,14,342,3,2017-12-17,100
3158,Brooklyn,Loft,Private room,2,1,3,1,Real Bed,120,1,1125,265,11,2017-08-02,94
3159,Brooklyn,Apartment,Entire home/apt,4,1,1,2,Real Bed,155,3,1125,213,13,2017-04-18,93
3160,Brooklyn,Apartment,Entire home/apt,3,2,2,2,Real Bed,145,5,1125,212,1,2015-09-16,100
3161,Brooklyn,Apartment,Entire home/apt,2,1,1,1,Real Bed,200,3,14,160,15,2017-12-16,87
3162,Brooklyn,Apartment,Entire home/apt,2,1.5,1,1,Real Bed,120,7,1125,0,0,,0
3163,Manhattan,Apartment,Entire home/apt,2,1,1,1,Real Bed,178,3,365,289,95,2017-11-27,85
3164,Manhattan,Apartment,Entire home/apt,2,1,1,1,Real Bed,325,3,365,332,21,2018-01-01,100
3165,Manhattan,Apartment,Private room,1,1,2,2,Real Bed,89,4,365,258,12,2018-02-28,93
3166,Manhattan,Apartment,Private room,3,1,1,2,Real Bed,89,1,15,35,237,2018-01-28,96
3167,Queens,Apartment,Private room,1,1,1,1,Real Bed,69,2,365,338,10,2016-04-27,100
3168,Manhattan,Apartment,Entire home/apt,4,1,1,2,Real Bed,239,4,1125,10,3,2017-05-20,100
3169,Manhattan,Apartment,Entire home/apt,2,1,1,1,Real Bed,125,1,1125,345,29,2017-12-28,90
3170,Brooklyn,Apartment,Private room,2,1,1,1,Real Bed,97,2,30,63,10,2017-10-22,98
3171,Brooklyn,Apartment,Private room,1,1,1,1,Real Bed,141,3,20,54,11,2016-09-26,100
3172,Brooklyn,Apartment,Private room,2,1,1,1,Real Bed,55,7,1125,324,104,2018-02-12,92
3173,Manhattan,Apartment,Private room,2,1,1,1,Real Bed,65,4,60,256,118,2017-12-28,86
3174,Brooklyn,Loft,Entire home/apt,5,1,2,2,Real Bed,160,2,20,30,24,2017-12-26,89
3175,Brooklyn,Apartment,Private room,1,1,1,1,Real Bed,82,1,1125,364,15,2014-12-08,86
3176,Brooklyn,Apartment,Entire home/apt,6,3,4,4,Real Bed,400,20,365,342,3,2018-01-14,93
3177,Manhattan,Apartment,Private room,1,1.5,1,1,Real Bed,120,14,1125,282,2,2014-08-01,90
3179,Manhattan,Apartment,Entire home/apt,2,1,1,1,Real Bed,225,2,1125,208,95,2018-01-23,97
3180,Manhattan,Apartment,Entire home/apt,3,1,1,1,Real Bed,275,7,120,362,6,2016-10-09,83
3181,Brooklyn,Apartment,Entire home/apt,6,1,2,4,Real Bed,176,2,1125,100,17,2018-02-25,98
3182,Manhattan,Apartment,Private room,2,1.5,1,1,Real Bed,71,1,29,241,241,2018-02-21,81
3183,Manhattan,Apartment,Entire home/apt,4,1,1,2,Real Bed,190,4,16,0,25,2017-01-03,99
3184,Brooklyn,Apartment,Private room,2,1,1,1,Real Bed,80,3,1125,0,2,2017-11-15,100
3185,Brooklyn,Apartment,Private room,4,1,1,2,Real Bed,95,2,21,83,23,2018-01-02,99
3186,Manhattan,Apartment,Private room,2,1,1,1,Real Bed,110,2,28,87,30,2018-01-02,93
3187,Brooklyn,Apartment,Private room,2,1,1,1,Real Bed,150,7,21,365,0,,0
3188,Brooklyn,Apartment,Entire home/apt,4,1,1,1,Real Bed,120,2,100,307,45,2018-01-02,89
3189,Manhattan,Apartment,Shared room,2,1,1,1,Couch,40,1,1125,365,46,2017-11-12,89
3190,Brooklyn,Loft,Entire home/apt,4,1,1,2,Real Bed,200,5,15,363,0,,0
3191,Brooklyn,House,Entire home/apt,4,1,1,2,Real Bed,100,1,1125,185,77,2018-01-01,97
3192,Manhattan,Apartment,Entire home/apt,2,1,1,2,Real Bed,70,6,365,117,19,2017-07-24,81
3193,Manhattan,Apartment,Entire home/apt,4,1,1,1,Real Bed,225,1,1125,312,147,2018-02-18,94
3194,Manhattan,Apartment,Entire home/apt,2,1,1,2,Real Bed,249,2,365,0,5,2015-05-14,93
3195,Manhattan,Apartment,Entire home/apt,2,1,1,1,Real Bed,130,2,18,137,28,2018-01-01,96
3196,Manhattan,Apartment,Entire home/apt,2,1.5,1,1,Real Bed,210,14,180,273,20,2017-10-13,99
3197,Manhattan,Apartment,Entire home/apt,2,1,0,1,Real Bed,175,3,1125,362,25,2015-10-03,98
3198,Manhattan,Apartment,Private room,2,1,1,1,Real Bed,125,1,105,269,120,2018-02-26,99
3199,Manhattan,Apartment,Entire home/apt,2,1,1,1,Real Bed,350,3,21,361,4,2017-12-10,100
3200,Manhattan,Apartment,Entire home/apt,2,1,1,1,Real Bed,199,7,1125,216,16,2017-09-12,94
3201,Brooklyn,Bed and breakfast,Private room,1,1,1,1,Real Bed,89,1,1125,365,0,,0
3202,Queens,Apartment,Private room,1,1,1,1,Real Bed,60,1,1125,365,0,,0
3203,Manhattan,Apartment,Entire home/apt,7,1,2,4,Real Bed,250,2,1125,336,163,2018-02-06,90
3204,Manhattan,Apartment,Entire home/apt,2,1,1,1,Real Bed,287,2,1125,280,9,2015-05-17,97
3205,Manhattan,Apartment,Entire home/apt,3,1,0,2,Real Bed,85,2,1125,0,18,2018-02-11,99
3206,Manhattan,Apartment,Private room,2,1,1,1,Real Bed,85,4,30,213,69,2018-02-27,92
3207,Brooklyn,Apartment,Entire home/apt,2,1,1,1,Real Bed,80,5,1125,258,28,2018-01-20,91
3208,Manhattan,Apartment,Entire home/apt,4,1,2,2,Real Bed,250,1,1125,102,179,2018-02-08,94
3209,Manhattan,Apartment,Private room,2,1,1,1,Real Bed,79,1,350,84,28,2017-10-09,83
3210,Brooklyn,Apartment,Private room,1,1,1,1,Futon,37,1,62,276,6,2016-09-28,75
3211,Queens,House,Private room,1,1,1,1,Real Bed,65,1,30,363,157,2018-02-14,95
3212,Brooklyn,Loft,Private room,2,1,1,1,Real Bed,60,2,1125,328,209,2018-01-01,94
3213,Manhattan,Apartment,Entire home/apt,2,1,1,1,Real Bed,95,30,90,30,67,2018-02-04,95
3214,Bronx,Loft,Private room,2,1,1,1,Real Bed,65,1,60,279,41,2018-01-04,94
3215,Manhattan,Loft,Entire home/apt,5,1,1,3,Real Bed,285,2,1125,159,85,2018-02-17,93
3216,Brooklyn,Apartment,Private room,2,1,1,1,Real Bed,125,4,1125,0,85,2017-10-03,97
3217,Queens,Apartment,Entire home/apt,1,1,1,1,Real Bed,99,7,1125,300,1,2018-02-02,100
3218,Brooklyn,Apartment,Private room,2,1,1,1,Real Bed,45,6,30,81,3,2017-07-21,100
3219,Brooklyn,Serviced apartment,Entire home/apt,4,1,1,2,Real Bed,137,2,365,214,41,2018-01-02,98
3220,Manhattan,Apartment,Private room,2,1.5,1,1,Real Bed,59,1,29,284,233,2018-02-23,81
3221,Manhattan,Apartment,Entire home/apt,4,1,1,2,Real Bed,190,2,1125,315,141,2018-02-26,87
3222,Manhattan,Apartment,Private room,1,1,1,1,Real Bed,80,1,1125,0,1,2016-07-01,100
3223,Brooklyn,Apartment,Entire home/apt,4,1,1,1,Real Bed,120,3,28,37,126,2018-02-19,96
3224,Brooklyn,Yurt,Entire home/apt,4,1,1,2,Real Bed,95,3,28,323,73,2018-01-02,94
3225,Manhattan,Apartment,Private room,2,1,1,1,Futon,90,1,14,183,33,2016-05-09,92
3226,Brooklyn,Apartment,Private room,2,1,1,1,Real Bed,54,3,50,0,3,2018-01-02,73
3227,Brooklyn,Apartment,Private room,1,1,1,1,Real Bed,75,3,60,292,10,2018-01-01,98
3228,Queens,Apartment,Shared room,1,1,1,1,Couch,50,1,1125,0,0,,0
3229,Brooklyn,Apartment,Private room,2,1,3,1,Real Bed,103,15,21,0,0,,0
3230,Brooklyn,Condominium,Entire home/apt,5,1,0,3,Real Bed,99,7,120,96,25,2018-01-05,91
3231,Brooklyn,House,Private room,1,1.5,1,1,Real Bed,25,5,21,346,2,2013-09-18,90
3232,Manhattan,Apartment,Private room,1,1,1,1,Real Bed,100,4,1125,42,25,2018-01-01,96
3233,Manhattan,Apartment,Private room,2,1,1,1,Real Bed,135,1,20,365,27,2017-12-10,80
3234,Manhattan,Apartment,Entire home/apt,4,1,1,1,Real Bed,180,5,1125,97,67,2018-01-16,96
3235,Brooklyn,Apartment,Entire home/apt,2,1,1,1,Real Bed,92,7,90,5,5,2018-01-19,96
3236,Brooklyn,Apartment,Entire home/apt,2,1,1,1,Real Bed,150,2,1125,308,152,2018-02-14,98
3237,Manhattan,Loft,Entire home/apt,3,1,1,1,Futon,250,10,30,0,1,2013-08-12,100
3238,Manhattan,Apartment,Private room,2,1,1,1,Real Bed,55,1,1125,27,57,2018-02-09,95
3239,Manhattan,Apartment,Private room,2,1,1,1,Real Bed,148,1,1125,365,11,2017-10-17,96
3240,Brooklyn,House,Private room,2,1,1,1,Real Bed,39,3,1125,365,11,2017-11-30,91
3241,Manhattan,Apartment,Entire home/apt,4,1,2,3,Real Bed,150,29,60,16,8,2017-09-01,93
3242,Brooklyn,House,Entire home/apt,2,1,1,1,Real Bed,120,2,28,332,50,2018-02-26,95
3243,Brooklyn,Loft,Entire home/apt,2,1,0,1,Real Bed,199,7,90,155,0,,0
3244,Queens,House,Private room,2,1,1,1,Real Bed,69,2,14,115,72,2017-11-14,89
3245,Manhattan,Apartment,Entire home/apt,2,1,1,1,Real Bed,200,2,1125,24,6,2016-07-16,97
3246,Brooklyn,Apartment,Private room,1,1,1,1,Real Bed,125,2,31,179,0,,0
3247,Brooklyn,Apartment,Entire home/apt,4,1,1,2,Real Bed,165,2,1125,35,128,2018-02-19,93
3248,Manhattan,Apartment,Private room,1,1,1,1,Futon,55,5,22,345,4,2016-08-19,90
3249,Manhattan,Apartment,Entire home/apt,2,1,1,1,Real Bed,175,7,1125,238,2,2014-07-31,100
3250,Manhattan,Apartment,Private room,6,1,2,3,Real Bed,240,4,1125,111,27,2018-01-03,93
3251,Queens,Apartment,Private room,2,1,1,1,Real Bed,59,2,28,338,96,2017-12-21,88
3252,Queens,Apartment,Entire home/apt,6,1,2,2,Real Bed,129,1,20,329,68,2017-12-11,78
3253,Manhattan,Apartment,Private room,2,1,1,1,Real Bed,95,7,120,365,2,2014-10-12,100
3254,Brooklyn,Apartment,Entire home/apt,2,1,1,1,Real Bed,150,2,1125,0,1,2017-06-22,100
3255,Brooklyn,Apartment,Entire home/apt,4,1,1,1,Real Bed,150,3,1125,84,0,,0
3256,Brooklyn,Apartment,Entire home/apt,6,1,2,4,Real Bed,179,3,180,254,104,2018-02-26,96
3257,Brooklyn,Apartment,Private room,2,1,1,1,Real Bed,65,1,7,139,249,2018-02-17,90
3258,Brooklyn,House,Private room,4,1.5,1,2,Real Bed,30,2,28,346,9,2017-12-04,87
3259,Brooklyn,Apartment,Entire home/apt,2,1,1,1,Real Bed,84,31,180,211,34,2018-01-09,97
3260,Manhattan,Apartment,Entire home/apt,3,1,1,1,Real Bed,315,2,9,365,6,2014-04-24,96
3261,Manhattan,Apartment,Private room,2,1,1,1,Real Bed,110,1,1125,12,80,2017-12-20,95
3262,Queens,Apartment,Entire home/apt,4,1,2,2,Real Bed,90,4,1125,31,33,2017-12-08,93
3263,Manhattan,Apartment,Entire home/apt,3,1,1,2,Real Bed,80,3,15,0,5,2017-12-25,93
3264,Queens,Apartment,Entire home/apt,2,1,1,1,Real Bed,95,1,7,119,16,2016-10-18,93
3265,Manhattan,Apartment,Private room,1,1,1,1,Real Bed,135,1,30,365,17,2016-09-27,93
3266,Queens,Apartment,Entire home/apt,4,1,1,2,Futon,84,2,1125,356,125,2018-02-08,95
3267,Brooklyn,Apartment,Shared room,1,1,1,1,Real Bed,35,5,20,0,110,2018-01-03,93
3268,Queens,Apartment,Entire home/apt,2,1,1,1,Real Bed,110,3,1125,352,7,2018-01-02,97
3269,Brooklyn,Apartment,Entire home/apt,4,1.5,3,3,Real Bed,350,7,60,245,4,2015-07-01,87
3270,Brooklyn,House,Private room,2,1,1,1,Real Bed,60,3,1125,285,9,2017-11-21,94
3271,Brooklyn,Apartment,Entire home/apt,6,2,2,4,Real Bed,220,5,1125,154,0,,0
3272,Brooklyn,Apartment,Entire home/apt,4,1,2,2,Real Bed,225,5,60,78,25,2018-01-01,98
3273,Brooklyn,Apartment,Entire home/apt,2,1,1,1,Real Bed,142,7,45,19,3,2017-01-05,100
3274,Brooklyn,Apartment,Private room,1,1,1,1,Real Bed,38,5,1125,0,1,2015-08-01,100
3275,Brooklyn,Apartment,Private room,4,1,1,1,Real Bed,55,1,1125,365,1,2013-07-18,94
3276,Manhattan,Condominium,Entire home/apt,3,1,1,2,Real Bed,95,3,29,3,32,2018-01-01,96
3277,Brooklyn,Apartment,Private room,2,1,1,1,Real Bed,79,1,1125,177,165,2018-02-25,91
3278,Brooklyn,Loft,Entire home/apt,2,1,1,1,Real Bed,169,1,60,249,22,2018-01-02,99
3279,Brooklyn,Apartment,Private room,2,1,1,1,Real Bed,47,7,365,198,31,2018-01-01,96
3280,Manhattan,Apartment,Entire home/apt,4,1,1,1,Real Bed,105,1,1125,147,97,2018-01-01,88
3281,Manhattan,Apartment,Private room,2,1,1,1,Real Bed,59,1,1125,365,81,2017-12-10,87
3282,Brooklyn,Apartment,Entire home/apt,2,1,1,1,Real Bed,150,26,365,259,20,2017-08-01,91
3283,Brooklyn,Apartment,Private room,1,1,1,1,Real Bed,50,1,1125,365,1,2014-08-27,100
3284,Manhattan,Apartment,Entire home/apt,2,1,1,1,Real Bed,71,12,120,298,0,,0
3285,Brooklyn,Apartment,Private room,2,1,1,1,Real Bed,47,7,1125,198,21,2017-09-11,93
3286,Brooklyn,Apartment,Private room,4,1,1,2,Real Bed,62,7,365,198,43,2018-01-02,95
3287,Brooklyn,Apartment,Entire home/apt,6,1,3,4,Real Bed,142,7,600,221,38,2017-12-26,95
3288,Brooklyn,Apartment,Entire home/apt,2,1,1,1,Real Bed,130,4,1125,353,3,2014-09-25,87
3289,Brooklyn,House,Private room,2,1.5,1,1,Real Bed,25,5,28,349,15,2017-12-11,97
3290,Brooklyn,House,Entire home/apt,10,2,4,10,Real Bed,350,2,21,66,19,2018-01-02,90
3291,Brooklyn,Apartment,Private room,1,1,1,1,Real Bed,73,2,1125,365,8,2014-01-07,95
3292,Brooklyn,Apartment,Private room,2,1,1,1,Real Bed,70,3,1125,5,1,2018-01-03,100
3293,Manhattan,Apartment,Entire home/apt,2,1,1,1,Real Bed,99,8,1125,0,2,2017-09-10,100
3294,Brooklyn,Apartment,Private room,2,2,1,2,Real Bed,55,1,6,129,28,2018-01-01,90
3295,Manhattan,Apartment,Entire home/apt,3,1,2,2,Real Bed,145,1,1125,70,208,2018-02-10,93
3296,Brooklyn,Apartment,Private room,3,1,1,2,Real Bed,60,2,28,349,98,2018-01-01,93
3297,Brooklyn,Loft,Private room,2,1,1,1,Real Bed,99,6,270,145,117,2018-02-23,99
3298,Brooklyn,Apartment,Private room,1,1,1,1,Real Bed,79,1,150,365,9,2016-08-18,91
3299,Manhattan,Apartment,Entire home/apt,4,2,2,2,Real Bed,350,30,40,358,3,2017-03-14,100
3300,Manhattan,Apartment,Private room,1,1,1,2,Real Bed,100,2,4,365,2,2014-07-15,90
3301,Brooklyn,House,Entire home/apt,9,1.5,3,6,Real Bed,250,5,12,46,8,2018-01-01,89
3302,Brooklyn,Apartment,Private room,1,1,1,1,Real Bed,135,2,1125,364,8,2017-10-15,100
3303,Manhattan,Apartment,Private room,1,1,1,1,Real Bed,58,3,1125,128,51,2018-01-04,94
3304,Manhattan,Apartment,Entire home/apt,4,2,3,4,Real Bed,250,29,60,364,0,,0
3305,Manhattan,Apartment,Private room,1,1,1,1,Real Bed,95,3,30,211,137,2018-02-20,96
3306,Manhattan,Dorm,Private room,2,1,1,1,Real Bed,80,2,1125,339,28,2018-01-01,92
3307,Manhattan,Apartment,Entire home/apt,2,1,2,2,Real Bed,105,1,60,178,71,2018-01-15,92
3308,Manhattan,Apartment,Private room,2,1,1,1,Real Bed,112,2,15,365,3,2015-01-08,100
3309,Brooklyn,Apartment,Entire home/apt,3,1,2,2,Real Bed,190,3,1125,304,30,2018-01-03,93
3310,Manhattan,Apartment,Entire home/apt,3,1,1,1,Real Bed,94,3,1125,0,5,2015-08-07,96
3311,Manhattan,Townhouse,Entire home/apt,6,1,2,4,Real Bed,300,3,1125,333,29,2017-11-03,96
3312,Brooklyn,House,Private room,3,1,2,2,Real Bed,82,2,30,187,72,2018-01-02,88
3313,Brooklyn,Apartment,Private room,4,1,1,2,Real Bed,75,2,21,356,24,2018-01-01,88
3314,Manhattan,Apartment,Entire home/apt,1,1,1,1,Pull-out Sofa,175,3,30,246,40,2017-10-23,96
3315,Manhattan,Apartment,Private room,2,1,1,1,Real Bed,140,1,30,247,9,2018-02-03,93
3316,Brooklyn,Townhouse,Entire home/apt,4,1,2,2,Real Bed,102,2,1125,0,20,2017-10-23,91
3317,Manhattan,Apartment,Entire home/apt,2,1,1,1,Real Bed,225,30,90,339,14,2016-09-27,100
3318,Manhattan,Apartment,Entire home/apt,2,1,1,1,Real Bed,180,5,1125,0,89,2017-12-05,97
3319,Manhattan,Apartment,Private room,2,1,1,1,Real Bed,95,5,1125,291,172,2018-02-18,94
3320,Brooklyn,Apartment,Entire home/apt,3,2,2,3,Real Bed,350,5,10,365,0,,0
3321,Manhattan,Apartment,Entire home/apt,4,1,2,2,Real Bed,505,3,7,298,67,2018-01-02,95
3322,Manhattan,Apartment,Entire home/apt,2,1,1,1,Real Bed,196,4,1125,140,72,2018-02-20,97
3323,Brooklyn,House,Entire home/apt,9,2,3,5,Real Bed,229,1,23,291,33,2018-02-04,92
3324,Manhattan,Apartment,Shared room,3,1,1,1,Airbed,150,2,1125,363,21,2015-10-12,92
3325,Brooklyn,Townhouse,Entire home/apt,4,1,2,2,Real Bed,181,2,1125,105,109,2018-02-17,95
3326,Manhattan,Apartment,Private room,1,1,1,1,Real Bed,92,1,1125,365,60,2017-12-24,99
3327,Manhattan,Apartment,Private room,1,1,1,1,Real Bed,110,1,1125,0,4,2015-09-08,95
3328,Brooklyn,Apartment,Private room,2,1,1,1,Real Bed,65,1,1125,300,76,2018-02-22,91
3329,Brooklyn,House,Entire home/apt,2,1,1,1,Real Bed,155,2,1125,281,72,2018-01-02,95
3330,Manhattan,Apartment,Entire home/apt,3,1,1,2,Real Bed,112,2,1125,244,57,2018-02-25,95
