neighbourhoodGroup,neighbourhood,latitude,longitude,propertyType,roomType,accommodates,bathrooms,bedrooms,beds,bedType,price,availability,Distance
Manhattan,East Harlem,40.80219249,-73.94382984,Apartment,Private room,1,1,1,1,Real Bed,55,330,0.059135318
Manhattan,East Harlem,40.78815497,-73.94958792,Apartment,Private room,1,1,1,1,Real Bed,55,169,1.60303962
Manhattan,East Harlem,40.79091214,-73.94814089,Apartment,Private room,1,1,1,1,Real Bed,55,159,1.273582858
Manhattan,East Harlem,40.8029633,-73.94398551,Apartment,Private room,1,1,1,1,Real Bed,54,278,0.140693663
Manhattan,East Harlem,40.79204127,-73.94603315,Apartment,Private room,1,1,1,1,Real Bed,52,262,1.106113219
Manhattan,East Harlem,40.79371917,-73.934455,Apartment,Private room,1,1,1,1,Real Bed,50,78,1.169875726
Manhattan,East Harlem,40.79185105,-73.94138813,Apartment,Private room,1,1,1,1,Real Bed,50,23,1.117140635
Manhattan,East Harlem,40.79712105,-73.93469407,Apartment,Private room,1,1,1,1,Real Bed,50,11,0.896326296
Manhattan,East Harlem,40.80900562,-73.93678812,Apartment,Private room,1,1,1,1,Real Bed,50,81,0.976048036
Manhattan,East Harlem,40.79665605,-73.9366269,Apartment,Private room,1,1,1,1,Real Bed,50,156,0.805143649
Manhattan,East Harlem,40.79465841,-73.9420843,Apartment,Private room,1,1,1,1,Real Bed,50,362,0.799793325
Manhattan,East Harlem,40.79728964,-73.9353678,Apartment,Private room,1,1,1,1,Real Bed,49,25,0.839404484
Manhattan,East Harlem,40.79919217,-73.94281629,Apartment,Private room,1,1,1,1,Real Bed,49,28,0.292070894
Manhattan,East Harlem,40.79112737,-73.94791687,Apartment,Private room,1,1,1,1,Real Bed,49,82,1.244975162
Manhattan,East Harlem,40.80223947,-73.93731778,Apartment,Private room,1,1,1,1,Real Bed,48,179,0.512782412
Manhattan,East Harlem,40.79796144,-73.93921001,Apartment,Private room,1,1,1,1,Real Bed,48,44,0.551244111
Manhattan,East Harlem,40.7931501,-73.93983766,Apartment,Private room,1,1,1,1,Real Bed,47,253,1.00528102
Manhattan,East Harlem,40.79723347,-73.93542522,Apartment,Private room,1,1,1,2,Real Bed,46,23,0.839276924
Manhattan,East Harlem,40.78644009,-73.94379852,Apartment,Private room,1,1,1,1,Real Bed,45,32,1.706519599
Manhattan,East Harlem,40.79209376,-73.94490073,Apartment,Private room,1,1,1,1,Real Bed,45,2,1.085073209
Manhattan,East Harlem,40.78791817,-73.948584,Apartment,Private room,1,1,1,1,Real Bed,45,111,1.602826651
Manhattan,East Harlem,40.79447293,-73.94380449,Apartment,Private room,1,1,1,1,Real Bed,45,338,0.813729521
Manhattan,East Harlem,40.80279128,-73.94450018,Apartment,Private room,1,1,1,1,Real Bed,40,2,0.146408329
Manhattan,East Harlem,40.78573629,-73.95013026,Apartment,Private room,1,1,1,1,Real Bed,40,74,1.872708031
Manhattan,East Harlem,40.79130576,-73.94344495,Apartment,Private room,1,1,1,1,Real Bed,40,289,1.16513102
Manhattan,East Harlem,40.7966068,-73.9383208,Apartment,Private room,1,1,1,1,Real Bed,40,11,0.716071101
Manhattan,East Harlem,40.79523124,-73.94278249,Apartment,Private room,1,1,1,1,Real Bed,39,173,0.73035922
Manhattan,East Harlem,40.79959953,-73.94169956,Apartment,Private room,1,1,1,1,Real Bed,36,25,0.281081727
Manhattan,East Harlem,40.79907684,-73.94267415,Apartment,Private room,1,1,1,1,Real Bed,35,2,0.306822717
Manhattan,East Harlem,40.79862919,-73.94133141,Apartment,Private room,1,1,1,1,Real Bed,35,17,0.390885158
Manhattan,East Harlem,40.79700947,-73.9353619,Apartment,Private room,1,1,1,1,Real Bed,28,7,0.858708243
Manhattan,East Harlem,40.80842571,-73.9399151,Apartment,Private room,1,1,1,1,Real Bed,25,269,0.794031296
,,,,,,,,,,,32.93421915,,
,,,,,,,,,,Range,200,,
