neighbourhoodGroup,neighbourhood,latitude,longitude,propertyType,roomType,accommodates,bathrooms,bedrooms,beds,bedType,price,availability
Brooklyn,Bedford-Stuyvesant,40.67980115,-73.93856864,Apartment,Entire home/apt,10,2,3,5,Real Bed,325,181
Brooklyn,Bedford-Stuyvesant,40.68075156,-73.94724839,Apartment,Entire home/apt,8,2,3,6,Real Bed,325,216
Brooklyn,Bedford-Stuyvesant,40.67988666,-73.91816751,House,Entire home/apt,12,2,3,4,Real Bed,325,158
Brooklyn,Bedford-Stuyvesant,40.69458178,-73.94537761,Apartment,Entire home/apt,10,1,3,6,Real Bed,325,0
Brooklyn,Bedford-Stuyvesant,40.68779135,-73.92815438,Apartment,Entire home/apt,8,2,5,8,Real Bed,325,120
Brooklyn,Bedford-Stuyvesant,40.69144024,-73.93792694,Apartment,Entire home/apt,4,1,2,2,Real Bed,325,173
Brooklyn,Bedford-Stuyvesant,40.68596565,-73.94917911,House,Entire home/apt,13,2,4,10,Real Bed,325,181
Brooklyn,Bedford-Stuyvesant,40.68481455,-73.92763365,House,Entire home/apt,6,2.5,3,3,Real Bed,320,0
Brooklyn,Bedford-Stuyvesant,40.68765324,-73.9268019,Apartment,Entire home/apt,9,2,4,5,Real Bed,320,0
Brooklyn,Bedford-Stuyvesant,40.691594,-73.95817175,Apartment,Entire home/apt,9,2,5,8,Real Bed,314,243
Brooklyn,Bedford-Stuyvesant,40.68914978,-73.95245405,Townhouse,Entire home/apt,8,1.5,3,3,Real Bed,313,187
Brooklyn,Bedford-Stuyvesant,40.6868679,-73.94698627,Apartment,Entire home/apt,12,2,3,7,Real Bed,300,308
Brooklyn,Bedford-Stuyvesant,40.6909785,-73.95964275,Apartment,Entire home/apt,6,1,3,3,Real Bed,300,0
Brooklyn,Bedford-Stuyvesant,40.69088513,-73.95899617,Apartment,Entire home/apt,4,2,2,2,Real Bed,300,0
Brooklyn,Bedford-Stuyvesant,40.6879104,-73.956327,House,Entire home/apt,6,2.5,2,4,Real Bed,300,14
Brooklyn,Bedford-Stuyvesant,40.68174322,-73.91920667,House,Entire home/apt,16,3,9,16,Real Bed,300,64
Brooklyn,Bedford-Stuyvesant,40.68071298,-73.94639667,Apartment,Entire home/apt,4,1,2,2,Real Bed,300,365
Brooklyn,Bedford-Stuyvesant,40.6914325,-73.93246179,Apartment,Entire home/apt,10,2,4,5,Real Bed,300,364
Brooklyn,Bedford-Stuyvesant,40.69030368,-73.93212856,House,Entire home/apt,6,1.5,3,3,Real Bed,300,140
Brooklyn,Bedford-Stuyvesant,40.68327735,-73.95157619,Apartment,Entire home/apt,5,1,2,4,Real Bed,300,344
Brooklyn,Bedford-Stuyvesant,40.68633781,-73.9251583,House,Entire home/apt,5,2,3,3,Real Bed,300,337
Brooklyn,Bedford-Stuyvesant,40.67766909,-73.91375954,Apartment,Entire home/apt,14,2,4,6,Real Bed,300,334
Brooklyn,Bedford-Stuyvesant,40.68381712,-73.95566249,House,Entire home/apt,8,2,3,4,Real Bed,300,0
Brooklyn,Bedford-Stuyvesant,40.69350694,-73.9542362,Loft,Entire home/apt,7,1,1,2,Real Bed,300,0
Brooklyn,Bedford-Stuyvesant,40.68476005,-73.95800735,Apartment,Private room,1,1,1,1,Real Bed,300,0
Brooklyn,Bedford-Stuyvesant,40.6827056,-73.93566784,Apartment,Entire home/apt,8,1,4,4,Real Bed,300,0
Brooklyn,Bedford-Stuyvesant,40.68989737,-73.93559398,Townhouse,Entire home/apt,6,2.5,3,3,Real Bed,300,358
Brooklyn,Bedford-Stuyvesant,40.68464339,-73.92655968,Apartment,Entire home/apt,7,1,4,5,Real Bed,299,300
Brooklyn,Bedford-Stuyvesant,40.69102378,-73.93638295,Townhouse,Entire home/apt,10,2,3,5,Real Bed,299,17
Brooklyn,Bedford-Stuyvesant,40.68937217,-73.95097279,Apartment,Entire home/apt,5,2,2,2,Real Bed,298,40
Brooklyn,Bedford-Stuyvesant,40.67805172,-73.91887966,Apartment,Entire home/apt,15,2,5,7,Real Bed,296,306
Brooklyn,Bedford-Stuyvesant,40.68582987,-73.95869998,Apartment,Entire home/apt,4,2,2,2,Real Bed,295,90
Brooklyn,Bedford-Stuyvesant,40.69321825,-73.94580751,Apartment,Entire home/apt,7,2.5,3,3,Real Bed,295,200
Brooklyn,Bedford-Stuyvesant,40.69386448,-73.94921346,Apartment,Entire home/apt,12,2,4,4,Real Bed,295,62
Brooklyn,Bedford-Stuyvesant,40.68952468,-73.94308948,Townhouse,Entire home/apt,6,1,2,2,Couch,295,0
Brooklyn,Bedford-Stuyvesant,40.69063663,-73.93559199,Townhouse,Entire home/apt,9,2,4,5,Real Bed,290,359
Brooklyn,Bedford-Stuyvesant,40.67751034,-73.91749555,Apartment,Entire home/apt,13,2,4,6,Real Bed,285,350
Brooklyn,Bedford-Stuyvesant,40.68003551,-73.95097573,Other,Entire home/apt,7,1,4,4,Real Bed,285,85
Brooklyn,Bedford-Stuyvesant,40.6910272,-73.95440892,Apartment,Entire home/apt,6,1,2,2,Real Bed,285,0
Brooklyn,Bedford-Stuyvesant,40.6801578,-73.94878249,Apartment,Entire home/apt,2,1,1,1,Futon,280,365
Brooklyn,Bedford-Stuyvesant,40.68336428,-73.93647951,House,Entire home/apt,8,2,2,3,Real Bed,280,108
Brooklyn,Bedford-Stuyvesant,40.68040701,-73.92971504,Apartment,Entire home/apt,6,1.5,2,2,Real Bed,280,0
Brooklyn,Bedford-Stuyvesant,40.67905577,-73.9444661,Apartment,Entire home/apt,2,1,1,1,Real Bed,280,0
Brooklyn,Bedford-Stuyvesant,40.68792415,-73.93518304,Apartment,Entire home/apt,6,1,2,1,Real Bed,275,0
Brooklyn,Bedford-Stuyvesant,40.68314028,-73.93123659,Apartment,Entire home/apt,6,1.5,3,4,Real Bed,275,260
Brooklyn,Bedford-Stuyvesant,40.67978768,-73.95090838,Loft,Private room,4,1,1,2,Real Bed,275,89
Brooklyn,Bedford-Stuyvesant,40.6932687,-73.94815633,Apartment,Entire home/apt,10,2,4,4,Real Bed,275,62
Brooklyn,Bedford-Stuyvesant,40.69216482,-73.9601088,Condominium,Private room,2,1,1,1,Real Bed,275,61
Brooklyn,Bedford-Stuyvesant,40.68409435,-73.94153818,Townhouse,Entire home/apt,4,1.5,2,2,Real Bed,265,124
Brooklyn,Bedford-Stuyvesant,40.69087042,-73.93564389,Townhouse,Entire home/apt,6,3,3,3,Real Bed,265,195
Brooklyn,Bedford-Stuyvesant,40.68263962,-73.94238194,Apartment,Entire home/apt,6,1,3,4,Real Bed,265,299
Brooklyn,Bedford-Stuyvesant,40.68444037,-73.94201313,Townhouse,Private room,10,2,3,5,Real Bed,260,202
Brooklyn,Bedford-Stuyvesant,40.69423829,-73.93849788,Apartment,Entire home/apt,10,2,4,4,Real Bed,260,202
Brooklyn,Bedford-Stuyvesant,40.68609468,-73.95885199,Apartment,Entire home/apt,5,1,3,3,Real Bed,255,0
Brooklyn,Bedford-Stuyvesant,40.68995774,-73.94053469,Apartment,Entire home/apt,5,2,2,2,Real Bed,250,0
Brooklyn,Bedford-Stuyvesant,40.68197738,-73.95347257,Apartment,Private room,2,1,1,1,Real Bed,250,0
Brooklyn,Bedford-Stuyvesant,40.69463078,-73.94938001,Apartment,Entire home/apt,2,1,1,1,Real Bed,250,89
Brooklyn,Bedford-Stuyvesant,40.67773684,-73.93138641,Loft,Private room,2,1,1,1,Real Bed,250,77
Brooklyn,Bedford-Stuyvesant,40.67784166,-73.92784046,House,Entire home/apt,5,2,2,2,Real Bed,250,363
Brooklyn,Bedford-Stuyvesant,40.68296753,-73.93804266,Apartment,Entire home/apt,4,2,2,2,Real Bed,250,0
Brooklyn,Bedford-Stuyvesant,40.69573894,-73.93975048,House,Private room,2,1,1,1,Real Bed,250,173
Brooklyn,Bedford-Stuyvesant,40.68968067,-73.95212617,Loft,Entire home/apt,4,1,1,2,Real Bed,250,364
Brooklyn,Bedford-Stuyvesant,40.68359811,-73.95820466,Apartment,Entire home/apt,6,2,3,3,Real Bed,250,34
Brooklyn,Bedford-Stuyvesant,40.68039145,-73.94302202,Apartment,Entire home/apt,6,2,2,3,Real Bed,250,277
Brooklyn,Bedford-Stuyvesant,40.68928261,-73.95975638,Apartment,Entire home/apt,4,1,2,2,Real Bed,250,148
