,neighbourhood_group_cleansed,property_type,room_type,accommodates,bathrooms,bedrooms,beds,bed_type,price
2472,Manhattan,Apartment,Private room,1,1,1,1,Real Bed,65
2477,Manhattan,Apartment,Private room,1,1,1,1,Real Bed,200
2525,Manhattan,Apartment,Private room,1,1,1,1,Real Bed,69
2574,Manhattan,Apartment,Private room,1,1,1,1,Real Bed,80
2575,Manhattan,Apartment,Private room,1,1,1,1,Real Bed,150
2609,Manhattan,Apartment,Private room,1,1,1,1,Real Bed,60
2616,Manhattan,Apartment,Private room,1,1,1,1,Real Bed,85
2619,Manhattan,Apartment,Private room,1,1,1,1,Futon,45
2653,Manhattan,Apartment,Private room,1,1,1,1,Pull-out Sofa,55
2667,Manhattan,Apartment,Private room,1,1,1,1,Real Bed,100
2707,Manhattan,Apartment,Private room,1,1,1,1,Real Bed,120
2714,Manhattan,Apartment,Private room,1,1,1,1,Real Bed,70
2749,Manhattan,Apartment,Private room,1,1,1,1,Real Bed,52
2762,Manhattan,Apartment,Private room,1,1,1,1,Real Bed,60
2764,Manhattan,Apartment,Private room,1,1,1,1,Real Bed,95
2867,Manhattan,Apartment,Private room,1,1,1,1,Real Bed,55
2869,Manhattan,Apartment,Private room,1,1,1,1,Real Bed,85
2874,Manhattan,Apartment,Private room,1,1,1,1,Real Bed,109
2884,Manhattan,Apartment,Private room,1,1,1,1,Real Bed,125
2904,Manhattan,Apartment,Private room,1,1,1,1,Real Bed,90
2913,Manhattan,Apartment,Private room,1,1,1,1,Real Bed,70
2919,Manhattan,Apartment,Private room,1,1,1,1,Real Bed,50
2921,Manhattan,Apartment,Private room,1,1,1,1,Real Bed,115
2959,Manhattan,Apartment,Private room,1,1,1,1,Real Bed,79
2975,Manhattan,Apartment,Private room,1,1,1,1,Real Bed,115
3045,Manhattan,Apartment,Private room,1,1,1,1,Real Bed,80
3055,Manhattan,Apartment,Private room,1,1,1,1,Real Bed,100
3071,Manhattan,Apartment,Private room,1,1,1,1,Futon,55
