neighbourhoodGroup,neighbourhood,latitude,longitude,propertyType,roomType,accommodates,bathrooms,bedrooms,beds,bedType,price,availability,Distance
Queens,Astoria,40.76205332,-73.9137871,Apartment,Private room,1,1,1,1,Real Bed,45,280,1.52902992
Queens,Astoria,40.75818659,-73.92655858,Apartment,Private room,1,1,1,1,Real Bed,45,170,1.230479779
Queens,Astoria,40.76304339,-73.90785462,Apartment,Private room,1,1,1,1,Real Bed,45,79,1.935142603
Queens,Astoria,40.77266678,-73.92800436,Apartment,Private room,1,1,1,1,Real Bed,43,89,0.420990576
Queens,Astoria,40.75680578,-73.91961711,Apartment,Private room,1,1,1,1,Real Bed,40,10,1.591346524
Queens,Astoria,40.77091215,-73.91875273,Apartment,Private room,1,1,1,1,Real Bed,40,1,0.922749346
Queens,Astoria,40.76680353,-73.91032824,Apartment,Private room,1,1,1,1,Real Bed,40,365,1.627447128
Queens,Astoria,40.76704729,-73.92348597,Apartment,Private room,1,1,1,1,Real Bed,40,47,0.547053993
Queens,Astoria,40.77126139,-73.93283858,Apartment,Private room,1,1,1,1,Real Bed,40,83,0.379093442
Queens,Astoria,40.76792477,-73.91190895,Apartment,Private room,1,1,1,1,Real Bed,40,7,1.480427944
Queens,Astoria,40.76374351,-73.90964978,Apartment,Private room,1,1,1,1,Real Bed,40,312,1.766513496
Queens,Astoria,40.76576938,-73.91470582,Apartment,Private room,1,1,1,1,Real Bed,39,364,1.291890113
Queens,Astoria,40.7755822,-73.92854182,Apartment,Private room,1,1,1,1,Real Bed,39,25,0.731574548
Queens,Astoria,40.76495832,-73.91169411,Apartment,Private room,1,1,1,1,Real Bed,39,364,1.560732116
Queens,Astoria,40.75895919,-73.9152961,Apartment,Private room,1,1,1,1,Real Bed,39,364,1.634657979
Queens,Astoria,40.76877156,-73.91237399,Apartment,Private room,1,1,1,1,Real Bed,38,62,1.436382767
Queens,Astoria,40.76866939,-73.92677199,Apartment,Private room,1,1,1,1,Real Bed,37,362,0.22728462
Queens,Astoria,40.76436682,-73.91303969,Apartment,Private room,1,1,1,1,Real Bed,36,181,1.474542108
Queens,Astoria,40.7635295,-73.91377628,Apartment,Private room,1,1,1,1,Real Bed,35,6,1.453374957
Queens,Astoria,40.76970073,-73.91635479,Apartment,Private room,1,1,1,1,Real Bed,35,114,1.103304061
Queens,Astoria,40.76903117,-73.91894967,Apartment,Private room,1,1,1,1,Real Bed,35,363,0.882316944
,,,,,,,,,,,19.6383257,,
,,,,,,,,,,Range,115,,
