neighbourhoodGroup,neighbourhood,latitude,longitude,propertyType,roomType,accommodates,bathrooms,bedrooms,beds,bedType,price,availability,Distance
Brooklyn,Bedford-Stuyvesant,40.69507477,-73.93426075,Apartment,Private room,1,1,1,1,Real Bed,68,13,1.885796756
Brooklyn,Bedford-Stuyvesant,40.68167869,-73.93574134,Apartment,Private room,1,1,1,1,Real Bed,65,365,1.981780167
Brooklyn,Bedford-Stuyvesant,40.68649719,-73.95372215,Apartment,Private room,1,1,1,1,Real Bed,65,113,0.515447369
Brooklyn,Bedford-Stuyvesant,40.68203034,-73.92125683,Apartment,Private room,1,1,1,1,Real Bed,65,60,3.081520856
Brooklyn,Bedford-Stuyvesant,40.69336551,-73.95102686,Apartment,Private room,1,1,1,1,Real Bed,65,9,0.499643211
Brooklyn,Bedford-Stuyvesant,40.69464191,-73.93368783,Apartment,Private room,1,1,1,1,Real Bed,65,364,1.921397914
Brooklyn,Bedford-Stuyvesant,40.69269602,-73.94656216,Apartment,Private room,1,1,1,1,Real Bed,65,247,0.815501504
Brooklyn,Bedford-Stuyvesant,40.6805286,-73.90878697,Apartment,Private room,1,1,1,1,Real Bed,63,363,4.135359566
Brooklyn,Bedford-Stuyvesant,40.69347828,-73.95927409,Apartment,Private room,1,1,1,1,Real Bed,62,198,0.409042852
Brooklyn,Bedford-Stuyvesant,40.68630337,-73.92422427,Apartment,Private room,1,1,1,1,Real Bed,60,363,2.71884077
Brooklyn,Bedford-Stuyvesant,40.68918984,-73.93350251,Apartment,Private room,1,1,1,1,Real Bed,60,365,1.89834401
Brooklyn,Bedford-Stuyvesant,40.69918411,-73.94513261,Apartment,Private room,1,1,1,1,Real Bed,60,133,1.300124389
Brooklyn,Bedford-Stuyvesant,40.69695106,-73.9595132,Apartment,Private room,1,1,1,1,Real Bed,60,301,0.745761978
Brooklyn,Bedford-Stuyvesant,40.68883811,-73.95059146,Apartment,Private room,1,1,1,1,Real Bed,60,31,0.500201355
Brooklyn,Bedford-Stuyvesant,40.67960413,-73.93547746,Apartment,Private room,1,1,1,1,Real Bed,60,21,2.127470415
Brooklyn,Bedford-Stuyvesant,40.69260669,-73.95923624,Apartment,Private room,1,1,1,1,Real Bed,60,74,0.343092962
Brooklyn,Bedford-Stuyvesant,40.68350281,-73.93406024,Apartment,Private room,1,1,1,1,Real Bed,60,52,2.014512191
Brooklyn,Bedford-Stuyvesant,40.68639247,-73.95089592,Apartment,Private room,1,1,1,1,Real Bed,59,364,0.649541759
Brooklyn,Bedford-Stuyvesant,40.69037324,-73.96019757,Apartment,Private room,1,1,1,1,Real Bed,58,87,0.364591506
Brooklyn,Bedford-Stuyvesant,40.69855292,-73.94035545,Apartment,Private room,1,1,1,1,Real Bed,58,365,1.56817453
Brooklyn,Bedford-Stuyvesant,40.69809086,-73.94020959,Apartment,Private room,1,1,1,1,Real Bed,58,17,1.551105662
Brooklyn,Bedford-Stuyvesant,40.69192515,-73.92739803,Apartment,Private room,1,1,1,1,Real Bed,56,347,2.407376127
Brooklyn,Bedford-Stuyvesant,40.67809313,-73.91279951,Apartment,Private room,1,1,1,1,Real Bed,55,330,3.901368724
Brooklyn,Bedford-Stuyvesant,40.6953687,-73.93493918,Apartment,Private room,1,1,1,2,Real Bed,55,180,1.839186157
Brooklyn,Bedford-Stuyvesant,40.694844,-73.93187158,Apartment,Private room,1,1,1,1,Real Bed,55,58,2.075737745
Brooklyn,Bedford-Stuyvesant,40.69459203,-73.95551005,Apartment,Private room,1,1,1,1,Real Bed,55,89,0.420325118
