,neighbourhood_group_cleansed,property_type,room_type,accommodates,bathrooms,bedrooms,beds,bed_type,price
2209,Brooklyn,Apartment,Private room,1,1.0,1,1,Real Bed,80
2227,Brooklyn,Apartment,Private room,1,1.0,1,1,Real Bed,60
2247,Brooklyn,Apartment,Private room,1,1.0,1,1,Real Bed,69
2248,Brooklyn,Apartment,Private room,1,1.0,1,1,Real Bed,79
2276,Brooklyn,Apartment,Private room,1,1.0,1,1,Real Bed,55
2310,Brooklyn,Apartment,Private room,1,1.0,1,1,Real Bed,60
2312,Brooklyn,Apartment,Private room,1,1.0,1,1,Real Bed,70
2317,Brooklyn,Apartment,Private room,1,1.0,1,1,Real Bed,46
2323,Brooklyn,Apartment,Private room,1,1.0,1,1,Real Bed,39
2330,Brooklyn,Apartment,Private room,1,1.0,1,1,Real Bed,68
2336,Brooklyn,Apartment,Private room,1,1.0,1,1,Real Bed,120
2345,Brooklyn,Apartment,Private room,1,1.0,1,1,Real Bed,55
2410,Brooklyn,Loft,Private room,1,1.0,1,1,Real Bed,78
2411,Brooklyn,Apartment,Private room,1,1.0,1,1,Real Bed,75
2413,Brooklyn,Apartment,Private room,1,1.0,1,1,Real Bed,55
2451,Brooklyn,Apartment,Private room,1,1.0,1,1,Real Bed,80
2458,Brooklyn,Apartment,Private room,1,1.0,1,1,Real Bed,60
2464,Brooklyn,Apartment,Private room,1,1.0,1,1,Real Bed,50
2485,Brooklyn,House,Private room,1,1.0,1,1,Real Bed,70
2499,Brooklyn,Apartment,Private room,1,1.0,1,1,Real Bed,68
2511,Brooklyn,Other,Private room,1,1.0,1,1,Real Bed,50
2522,Brooklyn,House,Private room,1,1.0,1,1,Real Bed,55
2550,Brooklyn,House,Private room,1,1.0,1,1,Real Bed,38
2587,Brooklyn,House,Private room,1,1.0,1,1,Real Bed,90
2590,Brooklyn,House,Private room,1,1.0,1,1,Real Bed,55
2597,Brooklyn,Apartment,Private room,1,1.0,1,1,Real Bed,35
2623,Brooklyn,Apartment,Private room,1,1.0,1,1,Real Bed,60
2625,Brooklyn,Apartment,Private room,1,1.0,1,1,Real Bed,30
2677,Brooklyn,Apartment,Private room,1,1.0,1,1,Real Bed,65
2685,Brooklyn,Loft,Private room,1,1.0,1,1,Real Bed,75
2748,Brooklyn,House,Private room,1,1.0,1,1,Futon,50
2750,Brooklyn,Apartment,Private room,1,1.0,1,1,Real Bed,63
2866,Brooklyn,Apartment,Private room,1,1.0,1,1,Futon,50
2894,Brooklyn,Apartment,Private room,1,1.0,1,1,Real Bed,52
2897,Brooklyn,Apartment,Private room,1,1.0,1,1,Real Bed,49
2948,Brooklyn,Apartment,Private room,1,1.0,1,1,Real Bed,49
2952,Brooklyn,Apartment,Private room,1,1.0,1,1,Real Bed,148
2964,Brooklyn,Apartment,Private room,1,1.0,1,1,Real Bed,125
2995,Brooklyn,Apartment,Private room,1,1.0,1,1,Real Bed,141
2999,Brooklyn,Apartment,Private room,1,1.0,1,1,Real Bed,82
3024,Brooklyn,Bed and breakfast,Private room,1,1.0,1,1,Real Bed,89
3033,Brooklyn,Apartment,Private room,1,1.0,1,1,Futon,37
3050,Brooklyn,Apartment,Private room,1,1.0,1,1,Real Bed,75
3069,Brooklyn,Apartment,Private room,1,1.0,1,1,Real Bed,125
3097,Brooklyn,Apartment,Private room,1,1.0,1,1,Real Bed,38
3106,Brooklyn,Apartment,Private room,1,1.0,1,1,Real Bed,50
3114,Brooklyn,Apartment,Private room,1,1.0,1,1,Real Bed,73
3121,Brooklyn,Apartment,Private room,1,1.0,1,1,Real Bed,79
3125,Brooklyn,Apartment,Private room,1,1.0,1,1,Real Bed,135
3155,Brooklyn,Apartment,Private room,1,1.0,1,1,Real Bed,50
3159,Brooklyn,Apartment,Private room,1,1.0,1,1,Real Bed,75
3160,Brooklyn,Apartment,Private room,1,1.0,1,1,Futon,60
3198,Brooklyn,Apartment,Private room,1,1.0,1,1,Real Bed,35
3236,Brooklyn,Apartment,Private room,1,1.0,1,1,Real Bed,45
3315,Brooklyn,Apartment,Private room,1,1.0,1,1,Real Bed,50
3332,Brooklyn,Apartment,Private room,1,1.0,1,1,Real Bed,49
3358,Brooklyn,Apartment,Private room,1,1.0,1,1,Real Bed,33
3386,Brooklyn,Apartment,Private room,1,1.0,1,1,Real Bed,45
3438,Brooklyn,Apartment,Private room,1,1.0,1,1,Real Bed,69
3462,Brooklyn,Apartment,Private room,1,1.0,1,1,Real Bed,110
3480,Brooklyn,Loft,Private room,1,1.0,1,1,Real Bed,80
3488,Brooklyn,Apartment,Private room,1,1.0,1,3,Real Bed,48
3503,Brooklyn,House,Private room,1,1.0,1,1,Real Bed,66
3504,Brooklyn,Apartment,Private room,1,1.0,1,1,Real Bed,50
3513,Brooklyn,Apartment,Private room,1,1.0,1,1,Real Bed,50
